"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",5.07,0.03
"01_2",7.64,-0.99
"01_3",7.92,16.15
"01_4",-1.35,2.95
"01_5",-1.11,10.1
"02_1",8.16,-7.66
"02_2",8.58,-3.7
"02_3",-3.95,4.31
"02_4",7.11,-6.16
"02_5",-3.8,6.33
"03_1",12.55,-0.27
"03_2",9.41,-8.77
"03_3",-2.26,11.05
"03_4",-0.45,-4.5
"03_5",-8.13,10.34
"04_1",25.13,7.56
"04_2",-10.17,16.36
"04_3",11.26,1.37
"04_4",-19.48,7.53
"04_5",-0.1,4.15
"05_1",-2.31,5.69
"05_2",1.2,6.71
"05_3",2.84,-3.35
"05_4",-0.87,10.74
"05_5",-3.42,13.28
"06_1",6.33,-0.54
"06_2",3.77,11.13
"06_3",-2.34,-3.38
"06_4",-6.48,13.59
"06_5",5.94,-4.75
"07_1",-9.22,-8.32
"07_2",5.8,10.57
"07_3",6.24,7
"07_4",-9.77,9.93
"07_5",-6.83,-1.07
"08_1",2.68,2.77
"08_2",6.15,10.92
"08_3",-8.19,3.18
"08_4",-3,-2.19
"08_5",-11.93,6.57
"09_1",9.95,-12.85
"09_2",-5.69,4.77
"09_3",-19.92,-1.31
"09_4",2.32,-0.29
"09_5",2.39,6.15
"10_1",9.73,5.14
"10_2",6.13,-2.7
"10_3",3.11,14.78
"10_4",-4.47,17.63
"10_5",-35.41,24.14
"11_1",9.88,-1.25
"11_2",13.75,4.85
"11_3",9.39,7.69
"11_4",-5.78,2.12
"11_5",-18.51,12.32
"12_1",5.05,0.49
"12_2",-8.4,17.69
"12_3",-7.3,-8.82
"12_4",7.09,18.05
"12_5",3.59,10.42
