cdate,closep,pctlead,updown,pctlag1,pctlag2,pctlag3,pctlag4,pctlag5,pctlag6,pctlag7,pctlag8,pctlag12,pctlag16,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy
1950-01-03,16.6600,1.1400,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,0.0200,0.0100
1950-01-04,16.8500,0.4750,1,1.1405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,0.0300,0.0100
1950-01-05,16.9300,0.2950,1,0.4748,1.6206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7993,,,,,,,,0.0400,0.0100
1950-01-06,16.9800,0.5890,1,0.2953,0.7715,1.9208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3834,0.6304,,,,,,,0.0500,0.0100
1950-01-09,17.0800,-0.2930,0,0.5889,0.8860,1.3650,2.5210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4404,0.4511,0.6191,,,,,,0.0100,0.0100
1950-01-10,17.0300,0.3520,1,-0.2927,0.2945,0.5907,1.0683,2.2209,0.0000,0.0000,0.0000,0.0000,0.0000,0.1466,0.1957,0.2646,0.4360,,,,,0.0200,0.0100
1950-01-11,17.0900,-1.9310,0,0.3523,0.0585,0.6478,0.9451,1.4243,2.5810,0.0000,0.0000,0.0000,0.0000,0.0293,0.2148,0.2347,0.2820,0.4217,,,,0.0300,0.0100
1950-01-12,16.7600,-0.5370,0,-1.9310,-1.5854,-1.8735,-1.2956,-1.0041,-0.5341,0.6002,0.0000,0.0000,0.0000,-0.7976,-0.6289,-0.3237,-0.2001,-0.0883,0.0842,,,0.0400,0.0100
1950-01-13,16.6700,0.3000,1,-0.5370,-2.4576,-2.1139,-2.4005,-1.8257,-1.5357,-1.0682,0.0600,0.0000,0.0000,-1.2564,-0.7126,-0.6070,-0.3663,-0.2559,-0.1518,0.0074,,0.0500,0.0100
1950-01-16,16.7200,0.8370,1,0.2999,-0.2387,-2.1650,-1.8203,-2.1077,-1.5312,-1.2404,-0.7715,0.0000,0.0000,-0.1198,-0.7378,-0.4610,-0.4272,-0.2565,-0.1775,-0.0961,0.0394,0.0100,0.0100
1950-01-17,16.8600,-0.0590,0,0.8373,1.1398,0.5967,-1.3458,-0.9982,-1.2881,-0.7067,-0.4135,0.0000,0.0000,0.5658,0.1990,-0.3432,-0.2021,-0.2175,-0.1015,-0.0518,0.0066,0.0200,0.0100
1950-01-18,16.8500,0.1190,1,-0.0593,0.7775,1.0798,0.5370,-1.4043,-1.0570,-1.3466,-0.7656,0.0000,0.0000,0.3856,0.3569,0.1341,-0.2862,-0.1783,-0.1949,-0.0963,-0.0526,0.0300,0.0100
1950-01-19,16.8700,0.1780,1,0.1187,0.0593,0.8971,1.1998,0.6563,-1.2873,-0.9395,-1.2295,1.2605,0.0000,0.0297,0.2966,0.2972,0.1310,-0.2184,-0.1358,-0.1557,-0.0724,0.0400,0.0100
1950-01-20,16.9000,0.1180,1,0.1778,0.2967,0.2372,1.0766,1.3797,0.8353,-1.1118,-0.7634,0.2967,0.0000,0.1481,0.0790,0.2667,0.2732,0.1388,-0.1615,-0.0965,-0.1186,0.0500,0.0100
1950-01-23,16.9200,-0.3550,0,0.1183,0.2964,0.4154,0.3559,1.1962,1.4997,0.9547,-0.9947,-0.0591,0.0000,0.1478,0.1381,0.0888,0.2370,0.2472,0.1358,-0.1263,-0.0725,0.0100,0.0100
1950-01-24,16.8600,-0.7120,0,-0.3546,-0.2367,-0.0593,0.0594,0.0000,0.8373,1.1398,0.5967,-0.7067,0.0000,-0.1184,-0.0197,0.0148,0.0000,0.1383,0.1610,0.0743,-0.1519,0.0200,0.0100
1950-01-25,16.7400,-0.0600,0,-0.7117,-1.0638,-0.9467,-0.7706,-0.6528,-0.7117,0.1196,0.4199,-1.9906,0.4802,-0.5357,-0.3167,-0.1928,-0.1305,-0.1186,0.0169,0.0520,-0.0132,0.0300,0.0100
1950-01-26,16.7300,0.5380,1,-0.0597,-0.7711,-1.1229,-1.0059,-0.8299,-0.7122,-0.7711,0.0598,-1.7616,-0.7122,-0.3884,-0.3775,-0.2528,-0.1664,-0.1188,-0.1103,0.0074,0.0396,0.0400,0.0100
1950-01-27,16.8200,1.1890,1,0.5380,0.4779,-0.2373,-0.5910,-0.4734,-0.2964,-0.1780,-0.2373,-1.5799,-0.6497,0.2385,-0.0795,-0.1489,-0.0952,-0.0495,-0.0255,-0.0297,0.0660,0.0500,0.0100
1950-01-30,17.0200,0.1760,1,1.1891,1.7334,1.6726,0.9490,0.5910,0.7101,0.8891,1.0089,1.5513,0.2356,0.8570,0.5537,0.2377,0.1188,0.1187,0.1271,0.1261,0.1055,0.0100,0.0100
1950-01-31,17.0500,0.0000,0,0.1763,1.3674,1.9127,1.8518,1.1269,0.7683,0.8876,1.0670,2.2795,-0.1756,0.6751,0.6288,0.4584,0.2252,0.1284,0.1270,0.1333,0.1317,0.0200,0.0100
1950-02-01,17.0500,1.0560,1,0.0000,0.1763,1.3674,1.9127,1.8518,1.1269,0.7683,0.8876,1.9737,0.1174,0.0880,0.4499,0.4710,0.3661,0.1874,0.1099,0.1110,0.1183,0.0300,0.0200
1950-02-02,17.2300,0.3480,1,1.0557,1.0557,1.2338,2.4376,2.9886,2.9271,2.1945,1.8322,2.1945,0.8192,0.5251,0.4091,0.5999,0.5871,0.4809,0.3119,0.2288,0.2165,0.0400,0.0200
1950-02-03,17.2900,0.1740,1,0.3482,1.4076,1.4076,1.5864,2.7943,3.3473,3.2855,2.5504,2.6113,3.1623,0.6953,0.4654,0.3935,0.5488,0.5466,0.4614,0.3163,0.2422,0.0500,0.0200
1950-02-06,17.3200,-0.5200,0,0.1735,0.5223,1.5836,1.5836,1.7626,2.9727,3.5266,3.4648,2.6675,3.8992,0.2600,0.5208,0.3919,0.3491,0.4856,0.4926,0.4249,0.3002,0.0100,0.0200
1950-02-07,17.2300,-0.1160,0,-0.5196,-0.3470,0.0000,1.0557,1.0557,1.2338,2.4376,2.9886,1.9527,3.0502,-0.1737,0.0000,0.2606,0.2090,0.2035,0.3411,0.3649,0.3187,0.0200,0.0200
1950-02-08,17.2100,0.4070,1,-0.1161,-0.6351,-0.4627,-0.1161,0.9384,0.9384,1.1163,2.3187,1.7139,2.0759,-0.3194,-0.1546,-0.0290,0.1854,0.1548,0.1578,0.2838,0.3112,0.0300,0.0200
1950-02-09,17.2800,-0.2310,0,0.4068,0.2902,-0.2309,-0.0578,0.2902,1.3490,1.3490,1.5276,2.4911,2.5519,0.1450,-0.0773,-0.0145,0.0579,0.2221,0.1907,0.1889,0.2974,0.0400,0.0200
1950-02-10,17.2400,-1.0440,0,-0.2315,0.1743,0.0580,-0.4619,-0.2892,0.0580,1.1144,1.1144,2.9869,2.1932,0.0869,0.0193,-0.1160,-0.0580,0.0097,0.1573,0.1378,0.1420,0.0500,0.0200
1950-02-14,17.0600,0.0000,0,-1.0441,-1.2732,-0.8716,-0.9867,-1.5012,-1.3303,-0.9867,0.0587,1.9725,0.9467,-0.6414,-0.2908,-0.2471,-0.3023,-0.2226,-0.1409,0.0073,0.0065,0.0200,0.0200
1950-02-15,17.0600,-0.4100,0,0.0000,-1.0441,-1.2732,-0.8716,-0.9867,-1.5012,-1.3303,-0.9867,1.4269,0.8274,-0.5276,-0.4284,-0.2185,-0.1980,-0.2522,-0.1910,-0.1235,0.0065,0.0300,0.0200
1950-02-16,16.9900,0.9420,1,-0.4103,-0.4103,-1.4501,-1.6782,-1.2783,-1.3929,-1.9053,-1.7351,-0.1763,0.7710,-0.2056,-0.4891,-0.4243,-0.2569,-0.2334,-0.2748,-0.2184,-0.1552,0.0400,0.0200
1950-02-17,17.1500,0.2920,1,0.9417,0.5276,0.5276,-0.5220,-0.7523,-0.3486,-0.4643,-0.9815,0.5865,2.4492,0.2636,0.1758,-0.1318,-0.1520,-0.0584,-0.0667,-0.1239,-0.0906,0.0500,0.0200
1950-02-20,17.2000,-0.1740,0,0.2916,1.2360,0.8206,0.8206,-0.2320,-0.4630,-0.0581,-0.1741,0.8798,2.8093,0.6114,0.2727,0.2047,-0.0468,-0.0779,-0.0083,-0.0219,-0.0777,0.0100,0.0200
1950-02-21,17.1700,0.2330,1,-0.1744,0.1166,1.0594,0.6448,0.6448,-0.4060,-0.6366,-0.2324,-0.3482,2.0809,0.0582,0.3494,0.1606,0.1286,-0.0682,-0.0918,-0.0292,-0.0389,0.0200,0.0200
1950-02-23,17.2100,0.4070,1,0.2330,0.0581,0.3498,1.2949,0.8792,0.8792,-0.1740,-0.4051,-0.4627,1.1163,0.0291,0.1163,0.3201,0.1750,0.1459,-0.0250,-0.0511,0.0000,0.0400,0.0200
1950-02-24,17.2800,0.0000,0,0.4068,0.6407,0.4651,0.7580,1.7069,1.2896,1.2896,0.2320,-0.2309,1.3490,0.3189,0.1549,0.1888,0.3372,0.2136,0.1832,0.0292,0.0000,0.0500,0.0200
1950-02-27,17.2800,-0.3470,0,0.0000,0.4068,0.6407,0.4651,0.7580,1.7069,1.2896,1.2896,0.2902,1.3490,0.2026,0.2125,0.1160,0.1509,0.2808,0.1829,0.1602,0.0259,0.0100,0.0200
1950-02-28,17.2200,0.1160,1,-0.3472,-0.3472,0.0581,0.2912,0.1163,0.4082,1.3537,0.9379,0.0581,-0.0580,-0.1739,0.0193,0.0725,0.0232,0.0677,0.1909,0.1164,0.1035,0.0200,0.0200
1950-03-01,17.2400,-0.0580,0,0.1161,-0.2315,-0.2315,0.1743,0.4077,0.2326,0.5248,1.4715,-0.2315,-0.2892,-0.1161,-0.0773,0.0435,0.0812,0.0387,0.0746,0.1815,0.1163,0.0300,0.0300
1950-03-02,17.2300,0.3480,1,-0.0580,0.0581,-0.2894,-0.2894,0.1162,0.3494,0.1744,0.4665,-0.0580,-0.5196,0.0290,-0.0967,-0.0725,0.0232,0.0580,0.0249,0.0580,0.1549,0.0400,0.0300
1950-03-03,17.2900,0.1740,1,0.3482,0.2900,0.4065,0.0579,0.0579,0.4649,0.6989,0.5233,1.3482,0.3482,0.1448,0.1352,0.0145,0.0116,0.0773,0.0994,0.0653,0.0903,0.0500,0.0300
1950-03-06,17.3200,-0.6930,0,0.1735,0.5223,0.4640,0.5807,0.2315,0.2315,0.6392,0.8736,1.5240,0.6392,0.2600,0.1543,0.1448,0.0463,0.0386,0.0910,0.1086,0.0773,0.0100,0.0300
