cdate,openp,highp,lowp,closep,adjp,volume
1962-01-02,2.246296,2.246296,2.221056,572.000000,2.221056,387200
1962-01-03,2.221056,2.240472,2.221056,577.000000,2.240472,288000
1962-01-04,2.240472,2.240472,2.217172,571.250061,2.218143,256000
1962-01-05,2.215231,2.215231,2.170578,560.000000,2.174461,363200
1962-01-08,2.172520,2.172520,2.116217,549.500061,2.133691,544000
1962-01-09,2.143398,2.186109,2.143398,556.000000,2.158930,491200
1962-01-10,2.162812,2.172520,2.162812,557.000061,2.162812,299200
1962-01-11,2.168639,2.186109,2.168639,563.000000,2.186109,315200
1962-01-12,2.189994,2.205526,2.189994,564.000000,2.189994,435200
1962-01-15,2.197758,2.204555,2.197758,566.500000,2.199700,251200
1962-01-16,2.197758,2.197758,2.176402,560.500000,2.176402,251200
1962-01-17,2.166695,2.166695,2.135631,551.500000,2.141458,419200
1962-01-18,2.147281,2.168639,2.147281,553.000000,2.147281,371200
1962-01-19,2.147281,2.153105,2.123983,553.500000,2.149222,400000
1962-01-22,2.149222,2.170578,2.143398,552.500061,2.145339,275200
1962-01-23,2.144367,2.147281,2.120099,547.000000,2.123983,371200
1962-01-24,2.123983,2.135631,2.113303,550.000000,2.135631,408000
1962-01-25,2.135631,2.153105,2.108451,544.000000,2.112333,315200
1962-01-26,2.112333,2.120099,2.100685,541.250000,2.101656,243200
1962-01-29,2.101656,2.116217,2.065738,532.000000,2.065738,579200
1962-01-30,2.065738,2.077386,2.039528,525.250000,2.039528,736000
1962-01-31,2.059913,2.104568,2.059913,542.000000,2.104568,760000
1962-02-01,2.125923,2.158930,2.125923,554.500000,2.153105,640000
1962-02-02,2.153105,2.166695,2.143398,558.000000,2.166695,507200
1962-02-05,2.166695,2.166695,2.127867,551.000000,2.139514,312000
1962-02-06,2.139806,2.143689,2.132039,551.500000,2.141748,256000
1962-02-07,2.143689,2.155340,2.143689,552.000000,2.143689,251200
1962-02-08,2.143689,2.155340,2.143689,552.500061,2.145630,16000
1962-02-09,2.145630,2.161166,2.135923,556.500000,2.161166,432000
1962-02-12,2.161166,2.178641,2.159222,557.000061,2.163107,280000
